
09/23/2016 04:00, 64.0, 0, 0.00, 100, 64, 60, 
09/23/2016 03:00, 64.0, 0, 0.00, 100, 64, 60, 
09/23/2016 02:00, 64.0, 0, 0.00, 100, 64, 60, 
09/23/2016 01:00, 65.0, 0, 0.00, 100, 65, 60, 
09/23/2016 00:00, 64.0, 0, 0.00, 100, 64, 60, 
09/21/2016 23:00, 62.0, 0, 0.00, 84, 57, 0, 
09/21/2016 22:00, 62.0, 0, 0.00, 93, 60, 60, 
09/21/2016 21:00, 63.0, 0, 0.00, 92, 61, 60, 
09/21/2016 20:00, 63.0, 0, 0.00, 95, 62, 60, 
09/21/2016 19:00, 68.0, 0, 0.00, 78, 61, 0, 
09/21/2016 18:00, 75.0, 0, 0.00, 58, 59, 0, 
09/21/2016 17:00, 78.0, 0, 0.00, 51, 58, 0, 
09/21/2016 16:00, 81.0, 0, 0.00, 49, 60, 0, 
09/21/2016 15:00, 80.0, 0, 0.00, 46, 57, 0, 
09/21/2016 14:00, 76.0, 0, 0.00, 46, 54, 0, 
09/21/2016 13:00, 74.0, 0, 0.00, 55, 57, 0, 
09/21/2016 12:00, 74.0, 0, 0.00, 66, 62, 0, 
09/21/2016 11:00, 71.0, 0, 0.00, 75, 63, 0, 
09/21/2016 10:00, 66.0, 0, 0.00, 85, 61, 0, 
09/21/2016 09:00, 60.0, 12, 0.00, 99, 60, 60, 
09/21/2016 08:00, 54.0, 12, 0.00, 100, 54, 60, 
09/21/2016 07:00, 51.0, 0, 0.00, 100, 51, 60, 
09/21/2016 06:00, 51.0, 0, 0.00, 100, 51, 60, 
09/21/2016 05:00, 53.0, 0, 0.00, 100, 53, 60, 
09/21/2016 04:00, 54.0, 0, 0.00, 100, 54, 60, 
09/21/2016 03:00, 55.0, 0, 0.00, 100, 55, 60, 
09/21/2016 02:00, 56.0, 0, 0.00, 95, 55, 60, 
09/21/2016 01:00, 58.0, 0, 0.00, 99, 58, 60, 
09/21/2016 00:00, 60.0, 0, 0.00, 100, 60, 60, 
09/19/2016 23:00, 60.0, 0, 0.00, 100, 60, 60, 
09/19/2016 22:00, 61.0, 0, 0.00, 100, 61, 60, 
09/19/2016 21:00, 62.0, 0, 0.00, 100, 62, 60, 
09/19/2016 20:00, 65.0, 0, 0.00, 100, 65, 60, 
09/19/2016 19:00, 72.0, 0, 0.00, 91, 69, 60, 
09/19/2016 18:00, 80.0, 0, 0.00, 66, 68, 0, 
09/19/2016 17:00, 81.0, 0, 0.00, 66, 69, 0, 
09/19/2016 16:00, 80.0, 0, 0.00, 64, 67, 0, 
09/19/2016 15:00, 78.0, 0, 0.00, 71, 68, 0, 
09/19/2016 14:00, 76.0, 0, 0.00, 79, 69, 0, 
09/19/2016 13:00, 77.0, 0, 0.00, 75, 68, 0, 
09/19/2016 12:00, 76.0, 0, 0.00, 92, 73, 60, 
09/19/2016 11:00, 75.0, 0.00, 97, 74, 60, 
09/19/2016 10:00, 66.0, 6, 0.00, 100, 66, 60, 
09/19/2016 09:00, 62.0, 56, 0.00, 100, 62, 60, 
09/19/2016 08:00, 60.0, 60, 0.00, 100, 60, 60, 
09/19/2016 07:00, 60.0, 60, 0.00, 100, 60, 60, 
09/19/2016 06:00, 60.0, 60, 0.00, 100, 60, 60, 
09/19/2016 05:00, 60.0, 60, 0.00, 100, 60, 60, 
09/19/2016 04:00, 61.0, 60, 0.00, 100, 61, 60, 
09/19/2016 03:00, 61.0, 60, 0.00, 100, 61, 60, 
09/19/2016 02:00, 63.0, 60, 0.00, 100, 63, 60, 
09/19/2016 01:00, 63.0, 59, 0.01, 100, 63, 60, 
09/19/2016 00:00, 63.0, 59, 0.00, 100, 63, 60, 
09/17/2016 23:00, 65.0, 60, 0.07, 100, 65, 60, 
09/17/2016 22:00, 66.0, 60, 0.01, 100, 66, 60, 
09/17/2016 21:00, 66.0, 60, 0.00, 100, 66, 60, 
09/17/2016 20:00, 68.0, 0, 0.00, 100, 68, 60, 
09/17/2016 19:00, 69.0, 0, 0.00, 100, 69, 60, 
09/17/2016 18:00, 70.0, 0, 0.00, 100, 70, 60, 
09/17/2016 17:00, 71.0, 0, 0.00, 100, 71, 60, 
09/17/2016 16:00, 71.0, 0, 0.00, 100, 71, 60, 
09/17/2016 15:00, 70.0, 0, 0.00, 100, 70, 60, 
09/17/2016 14:00, 70.0, 0, 0.00, 100, 70, 60, 
09/17/2016 13:00, 70.0, 0, 0.00, 100, 70, 60, 
09/17/2016 12:00, 71.0, 0, 0.00, 97, 70, 60, 
09/17/2016 11:00, 69.0, 0, 0.00, 100, 69, 60, 
09/17/2016 10:00, 68.0, 0, 0.00, 98, 67, 60, 
09/17/2016 09:00, 64.0, 0, 0.00, 100, 64, 60, 
09/17/2016 08:00, 61.0, 0, 0.00, 100, 61, 60, 
09/17/2016 07:00, 58.0, 0, 0.00, 100, 58, 60, 
09/17/2016 06:00, 59.0, 0, 0.00, 100, 59, 60, 
09/17/2016 05:00, 58.0, 0, 0.00, 100, 58, 60, 
09/17/2016 04:00, 58.0, 0, 0.00, 100, 58, 60, 
09/17/2016 03:00, 59.0, 0, 0.00, 100, 59, 60, 
09/17/2016 02:00, 60.0, 0, 0.00, 100, 60, 60, 
09/17/2016 01:00, 61.0, 0, 0.00, 100, 61, 60, 
09/17/2016 00:00, 62.0, 0, 0.00, 100, 62, 60, 
09/15/2016 23:00, 51.0, 0, 0.00, 100, 51, 60, 
09/15/2016 22:00, 54.0, 0, 0.00, 81, 48, 0, 
09/15/2016 21:00, 55.0, 0, 0.00, 78, 48, 0, 
09/15/2016 20:00, 54.0, 0, 0.00, 85, 50, 0, 
09/15/2016 19:00, 61.0, 0, 0.00, 69, 51, 0, 
09/15/2016 18:00, 68.0, 0, 0.00, 51, 49, 0, 
